key,0,1,2,3,4
#,Name,AchievementKind,ShowComplete,HideCategory,Order
int32,str,AchievementKind,bit&01,bit&02,byte
0,"",0,True,False,0
1,"全般",1,True,False,1
2,"ダンジョン",1,True,False,2
3,"討伐・討滅戦",1,True,False,3
4,"レイド",1,True,False,4
5,"モブハント",1,True,False,5
6,"トレジャーハント",1,True,False,6
7,"全般",2,True,False,1
8,"ランキング",2,True,True,2
9,"コロセウム",2,True,False,3
10,"フロントライン",2,True,False,4
11,"ライバルウィングズ",2,True,False,5
12,"全般",3,True,False,1
13,"ファイター",3,True,False,2
14,"ソーサラー",3,True,False,3
15,"クラフター",3,True,False,4
16,"ギャザラー",3,True,False,5
17,"MIP",3,True,False,6
18,"ゴールドソーサー",3,True,False,7
19,"全般",4,True,False,1
20,"通貨",4,True,False,2
21,"分解",4,True,False,3
22,"収集品",4,True,False,4
23,"マテリア",4,True,False,5
24,"木工師",5,True,False,2
25,"鍛冶師",5,True,False,3
26,"甲冑師",5,True,False,4
27,"彫金師",5,True,False,5
28,"革細工師",5,True,False,6
29,"裁縫師",5,True,False,7
30,"錬金術師",5,True,False,8
31,"調理師",5,True,False,9
32,"採掘師",5,True,False,10
33,"園芸師",5,True,False,11
34,"漁師",5,True,False,12
35,"全般",8,True,False,1
36,"リーヴ",8,True,False,4
37,"友好部族クエスト",8,True,False,5
38,"シーズナルイベント",8,True,True,99
39,"探検手帳",11,True,False,1
40,"ラノシア",11,True,False,2
41,"黒衣森",11,True,False,3
42,"ザナラーン",11,True,False,4
43,"クルザス",11,True,False,5
44,"モードゥナ",11,True,False,6
45,"アバラシア",11,True,False,7
46,"ドラヴァニア",11,True,False,8
47,"ギラバニア",11,True,False,9
48,"オサード",11,True,False,10
49,"コンテンツ",11,True,False,100
50,"全般",12,True,False,1
51,"黒渦団",12,True,False,2
52,"双蛇党",12,True,False,3
53,"不滅隊",12,True,False,4
54,"バトル",13,True,False,1
55,"通貨",13,True,False,2
56,"採集",13,True,False,3
57,"クエスト",13,True,False,4
58,"シーズナルイベント",13,True,False,5
59,"ダンジョン",13,True,False,6
60,"探検",13,True,False,7
61,"グランドカンパニー",13,True,False,8
62,"古の武器",4,True,False,6
63,"ゾディアックウェポン",4,True,False,7
64,"アニマウェポン",4,True,False,8
65,"ディープダンジョン魔器",4,True,False,9
66,"エウレカウェポン",4,True,False,10
67,"ノルヴラント",11,True,False,11
68,"レジスタンス・ウェポン",4,True,False,11
69,"全クラス共通",5,True,False,1
70,"スカイスチールツール",4,True,False,51
71,"特殊フィールド探索",1,True,False,7
72,"北洋地域",11,True,False,12
73,"イルサバード大陸",11,True,False,13
74,"その他",11,True,False,99
75,"マンダヴィルウェポン",4,True,False,12
76,"メインクエスト",8,True,False,2
77,"ジョブ／ロールクエスト",8,True,False,3
78,"",0,False,False,0
