key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,0,82093,0,0,"なし"
1,192001,82093,1,1,"なし"
2,192002,82093,1,2,"月桂樹"
3,192003,82093,1,10,"ハート"
4,192004,82093,1,11,"スター"
5,192005,82093,1,12,"TANK"
6,192006,82093,1,14,"DPS"
7,192007,82093,1,13,"HEALER"
8,192008,82093,1,32,"キラキラ"
9,192009,82093,1,16,"肉球"
10,192010,82093,1,17,"感嘆符"
11,192011,82093,1,18,"疑問符"
12,192301,82093,124,2000,"ナイト"
13,192302,82093,125,2001,"戦士"
14,192303,82093,126,2002,"暗黒騎士"
15,192304,82093,127,2003,"ガンブレイカー"
16,192305,82093,128,2004,"白魔道士"
17,192306,82093,129,2005,"学者"
18,192307,82093,130,2006,"占星術師"
19,192308,82093,131,2007,"賢者"
20,192309,82093,132,2008,"モンク"
21,192310,82093,133,2009,"竜騎士"
22,192311,82093,134,2010,"忍者"
23,192312,82093,135,2011,"侍"
24,192313,82093,136,2012,"リーパー"
25,192314,82093,137,2013,"吟遊詩人"
26,192315,82093,138,2014,"機工士"
27,192316,82093,139,2015,"踊り子"
28,192317,82093,140,2016,"黒魔道士"
29,192318,82093,141,2017,"召喚士"
30,192319,82093,142,2018,"赤魔道士"
31,192401,82093,143,3000,"チーム・アストラ"
32,192402,82093,144,3001,"チーム・アンブラ"
33,192403,82093,145,3200,"クリスタルコンフリクト：王者S1"
34,192404,82093,146,3201,"クリスタルコンフリクト：勇者S1"
35,192405,82093,147,3202,"クリスタルコンフリクト：入賞者S1"
36,192406,82093,148,3208,"クリスタルコンフリクト：ブロンズS1"
37,192407,82093,149,3207,"クリスタルコンフリクト：シルバーS1"
38,192408,82093,150,3206,"クリスタルコンフリクト：ゴールドS1"
39,192409,82093,151,3205,"クリスタルコンフリクト：プラチナS1"
40,192410,82093,152,3204,"クリスタルコンフリクト：ダイヤモンドS1"
41,192411,82093,153,3203,"クリスタルコンフリクト：クリスタルS1"
42,192901,82093,154,4000,"コンパニオン特典1"
43,192902,82093,155,4001,"コンパニオン特典2"
44,192701,82093,319,2500,"絶バハムート討滅戦"
45,192702,82093,320,2501,"絶アルテマウェポン破壊作戦"
46,192703,82093,321,2502,"絶アレキサンダー討滅戦"
47,192704,82093,322,2503,"絶竜詩戦争"
48,192412,82093,323,3209,"クリスタルコンフリクト：王者S2"
49,192413,82093,324,3210,"クリスタルコンフリクト：勇者S2"
50,192414,82093,325,3211,"クリスタルコンフリクト：入賞者S2"
51,192415,82093,326,3217,"クリスタルコンフリクト：ブロンズS2"
52,192416,82093,327,3216,"クリスタルコンフリクト：シルバーS2"
