key,0,1,2,3,4,5
#,Name,Description,Icon,Icon{Status},Reward,Sort
int32,str,str,Image,Image,uint16,byte
0,"","",0,0,0,0
1,"","",0,0,0,0
2,"帰還","バディを帰還させる。",901,14001,18,1
3,"追従","バディに自分についてくるように命令する。",902,14002,18,2
4,"フリーファイト","バディに、修得している全てのアクションを使って戦闘するように命令する。",906,14006,18,3
5,"ディフェンダースタンス","バディに、スキルリスト「DEFENDER」で修得したアクションを使って攻撃をするように命令する。",903,14003,18,4
6,"アタッカースタンス","バディに、スキルリスト「ATTACKER」で修得したアクションを使って攻撃をするように命令する。",904,14004,18,6
7,"ヒーラースタンス","バディに、スキルリスト「HEALER」で修得したアクションを使って回復をするように命令する。",905,14005,18,5
