key,0,1,2,3,4,5,6,7,8,9
#,TopImage,BottomImage,FontColor,,,,UnlockCondition,SortKey,Name,
int32,Image,Image,byte,byte,byte,byte,BannerCondition,byte,byte,str
0,196001,196251,0,0,0,0,1,0,0,"なし"
1,196002,196252,1,0,0,0,1,1,3,"半透明：ブラック"
2,196003,196253,1,0,0,0,1,1,1,"グラデーション：グレー"
3,196004,196254,1,0,0,0,1,1,2,"グラデーション：パープル"
4,196005,196255,2,0,0,0,1,1,5,"アイボリー"
5,196006,196256,1,0,0,0,1,1,9,"スピア"
6,196007,196257,1,0,0,0,1,1,10,"クラシック"
7,196008,196258,2,0,0,0,1,1,7,"ウッドボード"
8,196009,196259,1,0,0,0,1,1,4,"半透明：ダークブルー"
9,196010,196260,1,0,0,0,1,1,6,"ウッドパターン"
10,196011,196261,1,0,0,0,1,1,8,"スクロール"
11,196101,0,1,0,0,0,319,4,100,"絶バハムート討滅戦"
12,196102,0,1,0,0,0,320,4,101,"絶アルテマウェポン破壊作戦"
13,196103,0,1,0,0,0,321,4,102,"絶アレキサンダー討滅戦"
14,196104,0,1,0,0,0,322,4,103,"絶竜詩戦争"
15,196216,196466,1,0,0,0,344,3,90,"友好部族クエスト：オミクロン族"
16,196012,196262,1,0,0,0,347,7,14,"ミュージック"
17,196013,196263,1,0,0,0,1,1,15,"東方風"
18,196014,196264,1,0,0,0,346,3,11,"マスキングテープ：リムサ・ロミンサ"
19,196015,196265,1,0,0,0,346,3,12,"マスキングテープ：グリダニア"
20,196016,196266,1,0,0,0,346,3,13,"マスキングテープ：ウルダハ"
21,196212,196462,1,0,0,0,429,3,86,"友好部族クエスト：ピクシー族"
22,196213,196463,1,0,0,0,430,3,87,"友好部族クエスト：キタリ族"
23,196214,196464,1,0,0,0,431,3,88,"友好部族クエスト：ドワーフ族"
24,196215,196465,1,0,0,0,432,3,89,"友好部族クエスト：アルカソーダラ族"
25,196217,196467,1,0,0,0,433,3,91,"友好部族クエスト：レポリット族"
26,196105,0,1,0,0,0,434,4,104,"絶オメガ検証戦"
27,196210,196460,1,0,0,0,524,3,83,"友好部族クエスト：コウジン族"
28,196209,196459,2,0,0,0,525,3,84,"友好部族クエスト：アナンタ族"
29,196211,196461,1,0,0,0,526,3,85,"友好部族クエスト：ナマズオ族"
30,196106,0,1,0,0,0,523,7,120,"10周年記念"
31,196107,0,1,0,0,0,529,8,95,"世界を釣る者"
32,196108,0,1,0,0,0,530,8,96,"太公望への道"
33,196109,196351,1,0,0,0,531,8,97,"月下の雀士"
34,196206,196456,1,0,0,0,567,3,80,"友好部族クエスト：バヌバヌ族"
35,196207,196457,1,0,0,0,568,3,81,"友好部族クエスト：グナース族"
36,196208,196458,1,0,0,0,569,3,82,"友好部族クエスト：モーグリ族"
37,196113,0,1,0,0,0,572,3,71,"ミソロジー・オブ・エオルゼア"
38,0,0,0,0,0,0,0,0,0,""
39,196110,0,2,0,0,0,570,4,110,"クロの空想帳"
40,196111,0,1,0,0,0,571,4,111,"ソーチョーの幻想盤"
41,0,0,0,0,0,0,0,0,0,""
42,0,0,0,0,0,0,0,0,0,""
43,0,0,0,0,0,0,0,0,0,""
44,0,0,0,0,0,0,0,0,0,""
45,0,0,0,0,0,0,0,0,0,""
46,0,0,0,0,0,0,0,0,0,""
47,0,0,0,0,0,0,0,0,0,""
48,0,0,0,0,0,0,0,0,0,""
49,0,0,0,0,0,0,0,0,0,""
50,0,0,0,0,0,0,0,0,0,""
