key,0,1,2,3,4,5,6
#,Name,Description,Icon,FCRank,Cost,Order,Purchasable
int32,str,str,Image,FCRank,uint32,byte,bit&01
0,"","",0,0,0,0,True
1,"討伐経験値アップ","24時間（地球時間）、敵討伐時の獲得経験値が5％増加する",64213,5,3500,1,True
2,"採集経験値アップ","24時間（地球時間）、採集時の獲得経験値が5％増加する",64215,5,3500,2,True
3,"製作経験値アップ","24時間（地球時間）、製作時の獲得経験値が5％増加する",64216,5,3500,3,True
4,"バディ経験値アップ","24時間（地球時間）、バディの獲得経験値が10％増加する",64214,5,2800,4,True
5,"対人戦績アップ","24時間（地球時間）、対人戦績の獲得量が5％上昇する",64217,5,2800,5,True
6,"軍票アップ","24時間（地球時間）、軍票の獲得量が5％上昇する",64218,5,2800,6,True
7,"ビギナーボーナス","24時間（地球時間）、Lv25以下のバトルクラスの全フィジカルパラメータが10％上昇する",64201,5,1750,8,True
8,"獲得力アップ","24時間（地球時間）、ギャザラーの獲得力が5上昇する",64202,5,2800,9,True
9,"技術力アップ","24時間（地球時間）、ギャザラーの技術力が5上昇する",64203,5,2800,10,True
10,"作業精度アップ","24時間（地球時間）、クラフターの作業精度が5上昇する",64204,5,2800,11,True
11,"加工精度アップ","24時間（地球時間）、クラフターの加工精度が5上昇する",64205,5,2800,12,True
12,"錬精度上昇量アップ","24時間（地球時間）、錬精度が上昇しやすくなる",64209,5,3500,13,True
13,"食事効果時間延長","24時間（地球時間）、食事の効果時間を5分延長する",64208,5,2800,14,True
14,"装備品劣化低減","24時間（地球時間）、装備品の耐久度の減少を10％低減する",64210,5,3500,15,True
15,"都市内スプリント効果時間延長","24時間（地球時間）、都市内でのスプリントの効果時間を25％延長する",64220,5,2800,16,True
16,"テレポ割引","24時間（地球時間）、テレポに必要なギルが20％割引される",64212,5,3500,17,True
17,"MGPアップ","24時間（地球時間）、マンダヴィル・ゴールドソーサーポイントの獲得量が5％上昇する",64219,5,2800,7,True
18,"","",0,0,0,0,False
19,"","",0,0,0,0,False
20,"","",0,0,0,0,False
21,"","",0,0,0,0,False
22,"","",0,0,0,0,False
23,"","",0,0,0,0,False
24,"","",0,0,0,0,False
25,"","",0,0,0,0,False
26,"","",0,0,0,0,False
27,"","",0,0,0,0,False
28,"","",0,0,0,0,False
29,"","",0,0,0,0,False
30,"","",0,0,0,0,False
31,"討伐経験値アップII","24時間（地球時間）、敵討伐時の獲得経験値が10％増加する",64238,8,7000,18,True
32,"採集経験値アップII","24時間（地球時間）、採集時の獲得経験値が10％増加する",64240,8,7000,19,True
33,"製作経験値アップII","24時間（地球時間）、製作時の獲得経験値が10％増加する",64241,8,7000,20,True
34,"バディ経験値アップII","24時間（地球時間）、バディの獲得経験値が15％増加する",64239,8,7000,21,True
35,"対人戦績アップII","24時間（地球時間）、対人戦績の獲得量が10％上昇する",64242,8,7000,22,True
36,"軍票アップII","24時間（地球時間）、軍票の獲得量が10％上昇する",64243,8,7000,23,True
37,"ビギナーボーナスII","24時間（地球時間）、Lv49以下のバトルクラスの全フィジカルパラメータが5％上昇する",64226,8,3500,25,True
38,"獲得力アップII","24時間（地球時間）、ギャザラーの獲得力が10上昇する",64227,8,7000,26,True
39,"技術力アップII","24時間（地球時間）、ギャザラーの技術力が10上昇する",64228,8,7000,27,True
40,"作業精度アップII","24時間（地球時間）、クラフターの作業精度が10上昇する",64229,8,7000,28,True
41,"加工精度アップII","24時間（地球時間）、クラフターの加工精度が10上昇する",64230,8,7000,29,True
42,"錬精度上昇量アップII","24時間（地球時間）、錬精度が上昇しやすくなる",64234,8,7000,30,True
43,"食事効果時間延長II","24時間（地球時間）、食事の効果時間を10分延長する",64233,8,7000,31,True
44,"装備品劣化低減II","24時間（地球時間）、装備品の耐久度の減少を20％低減する",64235,8,7000,32,True
45,"都市内スプリント効果時間延長II","24時間（地球時間）、都市内でのスプリントの効果時間を50％延長する",64245,8,5600,33,True
46,"テレポ割引II","24時間（地球時間）、テレポに必要なギルが30％割引される",64237,8,7000,34,True
47,"MGPアップII","24時間（地球時間）、マンダヴィル・ゴールドソーサーポイントの獲得量が10％上昇する",64244,8,7000,24,True
48,"","",0,0,0,0,False
49,"","",0,0,0,0,False
50,"","",0,0,0,0,False
51,"","",0,0,0,0,False
52,"","",0,0,0,0,False
53,"","",0,0,0,0,False
54,"","",0,0,0,0,False
55,"","",0,0,0,0,False
56,"","",0,0,0,0,False
57,"","",0,0,0,0,False
58,"","",0,0,0,0,False
59,"","",0,0,0,0,False
60,"","",0,0,0,0,False
61,"討伐経験値アップIII","24時間（地球時間）、敵討伐時の獲得経験値が15％増加する",64263,8,10500,35,False
62,"採集経験値アップIII","24時間（地球時間）、採集時の獲得経験値が20％増加する",64265,8,10500,36,False
63,"製作経験値アップIII","24時間（地球時間）、製作時の獲得経験値が20％増加する",64266,8,10500,37,False
64,"バディ経験値アップIII","24時間（地球時間）、バディの獲得経験値が20％増加する",64264,8,10500,38,False
65,"対人戦績アップIII","24時間（地球時間）、対人戦績の獲得量が15％上昇する",64267,8,10500,39,False
66,"軍票アップIII","24時間（地球時間）、軍票の獲得量が15％上昇する",64268,8,10500,40,False
67,"","",0,0,0,0,False
68,"獲得力アップIII","24時間（地球時間）、ギャザラーの獲得力が15上昇する",64252,8,10500,43,False
69,"技術力アップIII","24時間（地球時間）、ギャザラーの技術力が15上昇する",64253,8,10500,44,False
70,"作業精度アップIII","24時間（地球時間）、クラフターの作業精度が15上昇する",64254,8,10500,45,False
71,"加工精度アップIII","24時間（地球時間）、クラフターの加工精度が15上昇する",64255,8,10500,46,False
72,"錬精度上昇量アップIII","24時間（地球時間）、錬精度が上昇しやすくなる",64259,8,10500,47,False
73,"食事効果時間延長III","24時間（地球時間）、食事の効果時間を15分延長する",64258,8,10500,48,False
74,"装備品劣化低減III","24時間（地球時間）、装備品の耐久度の減少を30％低減する",64260,8,10500,49,False
75,"","",0,0,0,0,False
76,"テレポ割引III","24時間（地球時間）、テレポに必要なギルが40％割引される",64262,8,10500,51,False
