key,0,1,2,3,4,5,6,7,8
#,Name,CompanyCraftDraftCategory,RequiredItem[0],RequiredItemCount[0],RequiredItem[1],RequiredItemCount[1],RequiredItem[2],RequiredItemCount[2],Order
int32,str,CompanyCraftDraftCategory,Item,byte,Item,byte,Item,byte,uint32
0,"飛空艇設計図:第2集",1,12923,6,0,0,0,0,1
1,"飛空艇設計図:第3集",1,12924,10,12923,4,0,0,2
2,"飛空艇設計図:第4集",1,12925,10,12923,4,0,0,3
3,"飛空艇設計図:第5集",1,12926,14,12924,4,0,0,4
4,"飛空艇設計図:第6集",1,12927,14,12925,4,12923,4,5
5,"家屋設計図:料理屋",2,12920,10,0,0,0,0,1
6,"家屋設計図:防具屋",2,12921,10,0,0,0,0,2
7,"家屋設計図:武器屋",2,12922,9,12921,8,0,0,3
8,"魔器設計図:第2集",0,12928,6,0,0,0,0,1
9,"魔器設計図:第3集",0,12928,6,0,0,0,0,2
10,"魔器設計図:第4集",0,12928,6,0,0,0,0,3
11,"魔器設計図:第5集",0,12929,4,12922,2,0,0,4
12,"魔器設計図:第6集",0,12929,4,12922,2,0,0,5
13,"魔器設計図:第7集",0,12929,4,12922,2,0,0,6
14,"大型魔器設計図:第2集",0,12929,6,12922,3,12920,8,7
15,"家屋設計図:モグモグハウス",2,12922,11,12921,10,12923,8,4
16,"大型魔器設計図:第3集",0,12929,8,12922,5,12920,10,8
17,"飛空艇設計図:第7集",1,12927,18,12926,8,12925,8,6
18,"大型魔器設計図:第4集",0,12929,10,12922,7,12920,12,9
19,"大型魔器設計図:第5集",0,12929,12,12922,9,12920,14,10
20,"家屋設計図:チョコボハウス",2,12922,14,12921,12,12923,10,5
21,"家屋設計図:パイッサハウス",2,12922,16,12921,14,12923,12,6
22,"家屋設計図:カーバンクルハウス",2,12922,18,12921,16,12923,14,7
23,"家屋設計図:白銀城造",2,12922,20,12921,18,12923,16,8
24,"潜水艦設計図:第1集",1,5374,6,0,0,0,0,7
25,"潜水艦設計図:第2集",1,12924,10,12923,4,0,0,8
26,"潜水艦設計図:第3集",1,12925,10,12923,4,0,0,9
27,"家屋設計図:ウソウソハウス",2,12922,21,12921,19,12923,17,9
28,"潜水艦設計図:第4集",1,12926,14,12924,4,0,0,10
29,"潜水艦設計図:第5集",1,12927,14,12925,4,12923,4,11
30,"潜水艦設計図:第6集",1,26528,18,12926,8,12924,8,12
31,"家屋設計図:ハーフティンバーハウス",2,12922,18,29590,10,26528,8,10
32,"家屋設計図:アンビルハウス",2,12922,18,29590,10,26528,8,10
33,"家屋設計図:フローリストハウス",2,12922,18,29590,10,26528,8,10
34,"家屋設計図:フォージハウス",2,12922,18,29590,10,26528,8,10
35,"家屋設計図:カフェハウス",2,12922,18,29590,10,26528,8,10
36,"家屋設計図:ジンジャーブレッドハウス",2,29590,18,37083,10,26528,8,10
37,"家屋設計図:数寄屋造",2,29590,18,37083,10,26528,8,10
