key,0,1,2,3,4,5
#,Name,Icon,Icon{DutyFinder},,,
int32,str,Image,Image,byte,byte,uint32
0,"",0,0,0,0,0
1,"コンテンツルーレット",61807,0,0,0,0
2,"ダンジョン",61801,60831,1,1,243
3,"ギルドオーダー",61803,60833,2,2,250
4,"討伐・討滅戦",61804,60834,1,3,245
5,"レイド",61802,60832,1,4,244
6,"PvP",61806,60836,1,5,0
7,"クエストバトル",61805,60835,0,0,0
8,"F.A.T.E.",61809,0,0,0,0
9,"トレジャーハント",61808,60838,0,0,0
10,"リーヴ",61811,0,0,0,0
11,"グランドカンパニー",61812,0,0,0,0
12,"バディ",61813,0,0,0,0
13,"友好部族クエスト",61814,0,0,0,0
14,"達成数ボーナス",61810,0,0,0,0
15,"MIP",61817,0,0,0,0
16,"ギャザラー",61815,60859,0,0,0
17,"クラフター",61816,0,0,0,0
18,"リテイナー",61818,0,0,0,0
19,"ゴールドソーサー",61820,60848,1,0,0
20,"",61823,60846,0,0,0
21,"ディープダンジョン",61824,60847,0,0,246
22,"",61801,60831,0,0,0
23,"",61821,61821,2,0,0
24,"空想帳",61825,0,0,0,0
25,"お得意様取引",61827,0,0,0,0
26,"エウレカ",61833,60851,0,0,247
27,"",61836,60853,0,0,0
28,"絶レイド",61832,60855,1,6,244
29,"",61838,61838,0,0,248
30,"特殊ダンジョン探索",61846,61846,1,0,249
