key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,ContentType,Icon,MenuOrder,RequiredAmount,Reward[0],ExpMultiplier,Reward[1],GilRward,LevelUnlock,HowTo,ReqUnlock,Name,Description,ExpCap
int32,ContentsNoteCategory,Image,byte,int32,byte,int32,byte,int32,uint16,HowTo,Row,str,str,int32
0,0,0,0,0,0,0,0,0,0,0,0,"","",0
1,1,61801,1,3,5,15,3,1000,0,57,0,"ダンジョン：コンテンツルーレット","コンテンツルーレットで、ダンジョンを3回攻略する",788400
2,1,61801,2,5,5,10,3,2000,0,57,0,"ダンジョン：攻略回数","ダンジョンを5回攻略する",525600
3,1,61803,3,3,5,5,3,1000,0,71,0,"ギルドオーダー：攻略回数1","ギルドオーダーを3回攻略する",262800
4,1,61803,4,10,5,10,3,2000,0,71,0,"ギルドオーダー：攻略回数2","ギルドオーダーを10回攻略する",525600
5,6,61808,3,5,0,0,3,2000,0,231,0,"宝物庫：宝箱開封数1","宝物庫の宝箱を、5回開ける",0
6,1,61825,8,3,0,0,3,2000,60,0,0,"クロの空想帳：印貼付数","クロの空想帳の対象コンテンツをコンプリートし、
3つ印を付ける",0
7,2,61806,1,10,0,0,9,1000,0,130,0,"クリスタルコンフリクト：参戦回数","クリスタルコンフリクトに10回参戦する",0
8,2,61806,2,3,0,0,9,1000,0,130,0,"クリスタルコンフリクト：勝利回数","クリスタルコンフリクトで3回勝利する",0
9,0,0,0,0,0,0,0,0,0,0,0,"","",0
10,0,0,0,0,0,0,0,0,0,0,0,"","",0
11,4,61811,1,5,5,15,3,1000,0,0,0,"リーヴ：絵柄制覇","プレートの絵柄が異なるリーヴを、5種類達成する",788400
12,4,61811,2,20,5,15,3,2000,0,0,0,"リーヴ：達成回数","リーヴを20回達成する",788400
13,8,61812,2,10,0,0,6,1000,0,89,0,"軍需品・補給品調達：納品回数2","軍需品・補給品調達を10回納品する",0
14,8,61812,1,5,0,0,6,1000,0,89,0,"軍需品・補給品調達：納品回数1","軍需品・補給品調達を5回納品する",0
15,6,61808,1,3,0,0,3,1000,0,149,0,"トレジャーハント：地図採集回数","古ぼけた地図を3回採集する",0
16,6,61808,2,5,0,0,3,2000,0,149,0,"トレジャーハント：宝獲得回数","トレジャーハントで宝箱を開け、宝を5回獲得する",0
17,1,61813,6,20,7,5,3,1000,0,96,0,"バディ：討伐数1","バディと共に、レベルの近い敵を20体討伐する",0
18,1,61813,7,100,7,10,3,2000,0,96,0,"バディ：討伐数2","バディと共に、レベルの近い敵を100体討伐する",0
19,7,61814,1,5,0,0,3,1000,0,152,0,"友好部族クエスト：コンプリート回数1","友好部族デイリークエストを5回コンプリートする",0
20,7,61814,2,15,0,0,3,2000,0,152,0,"友好部族クエスト：コンプリート回数2","友好部族デイリークエストを15回コンプリートする",0
21,12,61810,1,5,0,0,3,10000,0,0,0,"攻略手帳：達成数1","攻略手帳の課題を、5種類達成する",0
22,12,61810,2,10,0,0,3,10000,0,0,0,"攻略手帳：達成数2","攻略手帳の課題を、10種類達成する",0
23,12,61810,3,15,0,0,3,10000,20,0,0,"攻略手帳：達成数3","攻略手帳の課題を、15種類達成する",0
24,12,61810,4,20,0,0,3,10000,30,0,0,"攻略手帳：達成数4","攻略手帳の課題を、20種類達成する",0
25,1,61817,5,5,5,10,3,1000,0,160,0,"MIP推薦","MIP推薦を計5回投票する",525600
26,5,61815,4,100,5,5,3,1000,0,0,0,"採集活動","採掘師か園芸師で、採集レベルが近いアイテムを
100回採集する",0
27,5,61815,5,30,5,5,3,2000,0,0,0,"採集活動：獲得数ボーナス","採掘師か園芸師で、採集レベルが近い採集にて獲得数ボーナスを30回発生させる",0
28,5,61815,6,30,5,5,3,1000,0,0,0,"釣り","漁師で30回釣り上げる",0
29,5,61815,7,10,5,5,3,2000,0,0,0,"釣り：ラージサイズ","漁師でラージサイズの水産物を10回釣り上げる",0
30,5,61816,1,30,5,10,3,1000,0,0,0,"製作活動","30回製作をする",0
31,5,61816,2,20,5,10,3,2000,0,0,0,"製作活動：HQ","20回HQアイテムを製作する",0
32,0,0,0,0,0,0,0,0,0,0,0,"","",0
33,9,61818,1,10,0,0,3,1000,0,168,0,"リテイナーベンチャー：完了回数","リテイナーベンチャーの依頼を、10回完了させる",0
34,9,61818,2,15,0,0,3,4000,0,169,0,"リテイナーベンチャー：探索回数","リテイナーベンチャーの探索依頼を、15回完了させる",0
35,2,61806,3,7,0,0,9,1000,0,176,0,"フロントライン：参戦回数","フロントラインに7回参戦する",0
36,2,61806,4,3,0,0,9,1000,0,176,0,"フロントライン：勝利回数","フロントラインで3回勝利する",0
37,10,61820,1,3,0,0,8,1000,0,201,0,"ミニゲーム：達成回数","ミニゲームを3回達成する",0
38,10,61820,2,100,0,0,8,1500,0,201,0,"ミニゲーム：獲得MGP","ミニゲームで100MGP獲得する",0
39,10,61820,3,5,0,0,8,5000,0,201,0,"G.A.T.E.：参加回数","G.A.T.E.に5回参加する",0
40,10,61820,4,3,0,0,8,8000,0,201,0,"G.A.T.E.：達成回数","G.A.T.E.を3回達成する",0
41,10,61820,5,3,0,0,8,5000,0,196,0,"チョコボレース：出走回数1","チョコボレースに3回出走する",0
42,10,61820,6,20,0,0,8,8000,0,196,0,"チョコボレース：出走回数2","チョコボレースに20回出走する",0
43,10,61820,7,1,0,0,8,5000,0,196,0,"チョコボレース：勝利回数1","チョコボレースで1回勝利する",0
44,10,61820,8,10,0,0,8,8000,0,196,0,"チョコボレース：勝利回数2","チョコボレースで10回勝利する",0
45,10,61820,9,10,0,0,8,5000,0,199,0,"トリプルトライアド：対戦回数","トリプルトライアドで10回対戦する",0
46,10,61820,10,10,0,0,8,8000,0,199,0,"トリプルトライアド：勝利回数","トリプルトライアドの対戦で10回勝利する",0
47,10,61820,15,3,0,0,8,10000,0,224,0,"ロード・オブ・ヴァーミニオン：対戦回数2","ロード・オブ・ヴァーミニオンで3回対戦する",0
48,12,61810,5,30,0,0,3,15000,30,0,0,"攻略手帳：達成数5","攻略手帳の課題を、30種類達成する",0
49,10,61820,11,5,0,0,8,2500,0,200,0,"カードバトルルーム：対戦回数","カードバトルルームに入り、
トリプルトライアドで5回対戦する",0
50,10,61820,12,3,0,0,8,3000,0,200,0,"カードバトルルーム：勝利回数","カードバトルルームに入り、
トリプルトライアドの対戦で3回勝利する",0
51,5,61827,10,6,0,0,3,1000,60,219,0,"お得意様取引：納品回数","お得意様に6回納品する",0
52,5,61815,8,50,5,5,3,1000,0,241,0,"刺突漁","刺突漁でアイテムを50回採集する",0
53,5,61815,9,20,5,5,3,2000,0,241,0,"刺突漁：ラージサイズ","刺突漁でラージサイズの水産物を20回採集する",0
54,2,61806,5,10,0,0,9,1000,0,240,0,"ライバルウィングズ：参戦回数","ライバルウィングズに10回参戦する",0
55,2,61806,6,5,0,0,9,1000,0,240,0,"ライバルウィングズ：勝利回数","ライバルウィングズで5回勝利する",0
56,11,61833,1,30,10,5,3,1000,0,251,0,"エウレカ：雷氷属性討伐数1","自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを30体倒す",0
57,11,61833,2,60,10,15,3,1000,0,251,0,"エウレカ：雷氷属性討伐数2","自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを60体倒す",0
58,11,61833,3,30,10,5,3,1000,0,251,0,"エウレカ：火土属性討伐数1","自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを30体倒す",0
59,11,61833,4,60,10,15,3,1000,0,251,0,"エウレカ：火土属性討伐数2","自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを60体倒す",0
60,11,61833,5,30,10,5,3,1000,0,251,0,"エウレカ：水風属性討伐数1","自身より-2以上のエレメンタルレベルを持つ水・風属性のエネミーを30体倒す",0
