key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,EventType,EnemyType,,,LGBEventObject,LGBMapRange,Quest,,SingleBattle,Announce,Name,Description,,,
int32,DynamicEventType,DynamicEventEnemyType,byte,byte,uint32,uint32,Quest,byte,DynamicEventSingleBattle,LogMessage,str,str,int16,int16,int16
0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
1,1,4,48,20,8373717,8511877,69477,0,0,0,"腐乱野菜「ピーリフール」","魔獣大隊の百人隊長クラリシーが
腐りかけた草木綱の魔物を放棄した
腐乱野菜、ピーリフールを倒せ",0,0,0
2,1,2,48,20,8374110,8511881,69477,0,0,0,"戦争の妖犬「カニスディルス」","術士大隊が戦列をかき乱すため
三つ首の妖犬を召喚した
戦争の妖犬、カニスディルスを倒せ",0,0,0
3,1,1,48,20,8367113,8511882,69477,0,0,0,"高火力陸戦魔導兵器「ヴィジル」","機械化歩兵大隊の強化兵ダボグが駆る
ガードスコーピオンの改修機が現れた
高火力陸戦魔導兵器、ヴィジルを倒せ",0,0,0
4,2,3,1,20,8367033,8511886,69477,0,1,0,"新型飛行型魔導アーマー「ガブリエル」","機械化歩兵大隊の強化兵ダボグが駆る
新型飛行型魔導アーマーが飛来した
一騎打ちに応じ、ガブリエルを倒せ",0,0,0
5,1,4,48,20,8342248,8511887,69477,0,0,0,"黒き死鳥「アクババ」","魔獣大隊の鳥使いたちが
ボズヤ・レジスタンスに損害を与えている
死鳥アクババと、鳥使いを倒せ",0,0,0
6,1,5,48,20,8367316,8511891,69481,0,0,0,"怨念の死霊「スパルトイ」","術士大隊の選抜兵ロフィーが
実験動物モノセロスを連れて脱走を図った
モノセロスと共に、死霊スパルトイを倒せ",0,0,0
7,1,4,48,20,8374867,8511892,69481,0,0,0,"赤チョコボのヌシ「レッドコメット」","南方ボズヤ戦線に
いずこからか赤チョコボの群れが現れた
群れのヌシ、レッドコメットを倒せ",0,0,0
8,2,3,1,20,8374963,8511893,69481,0,2,0,"百獣使い「獣王ライアン」","魔獣大隊を率いる歴戦の千人隊長
ライアンから挑戦を受けた
一騎打ちに応じ、獣王ライアンを倒せ",0,0,0
9,3,2,24,20,8375462,8511895,69481,0,0,0,"炎獣使い「火焔百人隊」","炎獣ピュロボロスを使役する
術士大隊火焔百人隊が進撃してきた
敵部隊をせん滅し、進攻を阻止せよ",0,0,0
10,1,1,48,20,8374781,8511898,69481,0,0,0,"拠点防衛魔導兵器「パトリオット」","機械化歩兵大隊が
拠点の防備を固めるため新兵器を配備した
拠点防衛魔導兵器、パトリオットを倒せ",0,0,0
11,1,2,24,20,8377121,8511901,69484,0,0,0,"邪眼の妖獣「エアレー」","術士大隊の妖術士が
不気味な妖獣を戦場に解き放った
邪眼の妖獣、エアレーを倒せ",0,0,0
12,2,3,1,20,8374538,8511905,69484,0,3,0,"老練の魔道士「鉄火のサルトヴォアール」","強敵を求めるパイロマンサーが現れた
第IV軍団術士大隊の上級百人隊長
鉄火のサルトヴォアールを一騎打ちで倒せ",0,0,0
13,1,1,48,20,8367337,8511910,69484,0,0,0,"鋼鉄の魔獣「ダーインスレイヴ」","機械化歩兵大隊の魔導技師長シシニアスが
新型の魔導兵器を戦場に送り込んだ
鋼鉄の魔獣、ダーインスレイヴを倒せ",0,0,0
14,1,1,48,20,8377886,8511912,69484,0,0,0,"新たなる鉄巨人「魔導レイバーX型」","機械化歩兵大隊の魔導技師長シシニアスが
古代兵器に改良を加え、実戦投入した
新たなる鉄巨人、魔導レイバーX型を倒せ",0,0,0
15,1,5,48,20,8367328,8511913,69484,0,0,0,"戦慄の角「チルヴニク」","魔獣大隊が秘薬を用いて
魔獣の死体を蘇らせ戦力化した
戦慄の角、チルヴニクを倒せ",0,0,0
16,4,6,48,20,0,0,69487,1,0,9626,"カストルム・ラクスリトレ攻城戦","第IV軍団のボズヤにおける本拠点
カストルム・ラクスリトレに攻め上った
障害を突破し、砦を制圧せよ",0,0,0
17,3,2,48,20,8664684,8664761,69620,0,0,0,"妖霊使い「妖戦百人隊」","妖霊ジルニトラを使役する
術士大隊妖戦百人隊が進撃してきた
敵部隊をせん滅し、進攻を阻止せよ",0,0,0
