key,0,1,2,3,4,5,6,7,8
#,Name,Description,,Action,UnlockLink,Recast,UIPriority,Icon,
int32,str,str,byte,Action,uint16,byte,byte,Image,bit&01
0,"","",0,0,0,0,0,0,False
1,"オートアタック","一定間隔で自動的に通常攻撃をし続ける。",1,0,0,0,7,101,False
2,"ジャンプ","ジャンプすることで少しくらいの段差は乗り越えることができる。",1,0,0,0,11,102,False
3,"リミットブレイク","リミットゲージを消費して、強力なリミットブレイクを発動する。
発動するリミットブレイクは、クラスのロールと実行した際のリミットブレイクレベルによって異なる。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>盾役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>パーティメンバー全員にダメージ軽減を付与する。
（範囲：50m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>近接攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>敵単体に大ダメージを与える。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>遠隔攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>前方直線範囲内の敵に大ダメージを与える。
（範囲：30m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>魔法攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>地面を対象に、範囲内の敵に大ダメージを与える。（範囲：8m／10m／15m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>回復役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>パーティメンバー全員のHPを回復する。
さらにレベル3では蘇生する。
この際、蘇生対象が衰弱状態ではない場合、衰弱を付与せずに蘇生する。蘇生対象が衰弱状態の場合、衰弱の効果時間をリセットして蘇生する。（範囲：50m）",1,0,0,0,4,103,False
4,"スプリント","自身の移動速度を上昇させる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>戦闘中効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>10秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>非戦闘中効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
※PvPコンテンツ内では実行することはできない。",1,3,0,56,1,104,False
5,"分解","アイテムを解体し、再利用できる素材を取り出す。",2,0,95,0,51,120,True
6,"修理","装備品の耐久度を回復させる。
触媒として装備レベルに応じたダークマターが必要。",2,0,0,0,31,106,True
7,"テレポ","ギルを消費して、訪れたことのあるエーテライトまで転移する。",1,5,4,0,2,111,True
8,"デジョン","ホームポイント登録した場所まで転移する。",1,6,1,57,3,112,True
9,"マウント・ルーレット","ランダムにマウントを呼び出す。",1,0,0,0,21,118,False
10,"ミニオン・ルーレット","ランダムにミニオンを呼び出す。",1,0,0,0,23,117,False
11,"","",0,0,0,0,0,0,False
12,"マテリア装着","装備品に思念結晶体マテリアを装着し、強化する。",2,0,11,0,33,107,True
13,"マテリア装着II","装備品に思念結晶体マテリアを装着し、強化する。
失敗の危険性を伴うが、マテリア穴の個数を超えた装着も可能。",2,0,12,0,34,108,True
14,"マテリア精製","物質に宿った思念のエーテルを抽出し、結晶（マテリア）化する。",2,0,13,0,32,109,True
15,"染色","カララントを消費して、装備品の色を変更する。",2,0,14,0,41,110,True
16,"ターゲット・順送り","一番近い敵から順送りにターゲットする。",3,0,0,0,12,113,True
17,"ターゲット・逆送り","一番近い敵から逆送りにターゲットする。",3,0,0,0,13,114,True
18,"設置","手に持っているアイテムをその場に置く。",1,0,0,0,0,61112,False
19,"ディサイファー","古ぼけた地図を解読する。",1,1694,25,0,61,115,False
20,"ディグ","宝の地図に記された宝箱があるかどうか、周囲を探る。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>範囲：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>半径30ｍ",1,1695,25,67,62,116,False
21,"精選","採集した収集品を選りすぐり、新たなアイテムを発見する。",2,0,256,0,52,121,True
22,"武具投影","ミラージュプリズムを消費して、装備品の外見を変更する。",2,0,15,0,42,119,True
23,"降りる","マウントから降りる。",1,0,0,0,0,61128,False
24,"フライングマウント・ルーレット","ランダムに飛行可能なマウントを呼び出す。",1,0,0,0,0,122,False
25,"ミラージュプレート","複数の装備品を一括して武具投影する。",2,0,15,0,43,125,True
26,"コンテンツアクション1","ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。",1,0,0,0,5,123,False
27,"コンテンツアクション2","ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。",1,0,0,0,6,124,False
28,"しまう","ファッションアクセサリーをしまう。",1,0,0,0,0,61188,False
29,"EXホットバー・アクション並び替え","EXホットバーに設定されているアクションの並びを変更する。",1,0,0,0,0,61192,True
30,"EXホットバー・アクション並び替え","EXホットバーに設定されているアクションの並びを変更する。",1,0,0,0,0,61192,True
