key,0,1,2,3,4,5,6,7,8
#,Spot[0],Time[0],Spot[1],Time[1],Spot[2],Time[2],Image,TerritoryType,Name
int32,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,Image,TerritoryType,str
0,0,0,0,0,0,0,0,0,""
1,2,1,1,2,3,3,63172,721,"メルトール海峡北行き"
2,2,2,1,3,3,1,63172,730,"メルトール海峡北行き"
3,2,3,1,1,3,2,63172,731,"メルトール海峡北行き"
4,1,1,2,2,4,3,63171,732,"ロータノ海行き"
5,1,2,2,3,4,1,63171,733,"ロータノ海行き"
6,1,3,2,1,4,2,63171,734,"ロータノ海行き"
7,5,1,3,2,6,3,63173,770,"緋汐海行き"
8,5,2,3,3,6,1,63173,771,"緋汐海行き"
9,5,3,3,1,6,2,63173,772,"緋汐海行き"
10,5,1,4,2,7,3,63174,773,"ロズリト湾行き"
11,5,2,4,3,7,1,63174,774,"ロズリト湾行き"
12,5,3,4,1,7,2,63174,775,"ロズリト湾行き"
