key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
int32,str,byte,byte,JournalSection,byte
0,"無効カテゴリ",0,0,255,0
1,"メインクエスト：新生エオルゼア",1,1,0,0
2,"メインクエスト：第七星暦ストーリー",1,1,0,0
3,"メインクエスト：蒼天のイシュガルド",1,1,0,0
4,"メインクエスト：竜詩戦争 完結編",1,1,0,0
5,"メインクエスト：竜詩戦争 戦後編",1,1,0,0
6,"メインクエスト：紅蓮のリベレーター",1,1,0,0
7,"メインクエスト：解放戦争 戦後編",1,1,0,0
8,"メインクエスト：漆黒のヴィランズ",1,1,1,0
9,"メインクエスト：暁の帰還編",1,1,1,0
10,"メインクエスト：終末の序曲編",1,1,1,0
11,"クロニクルクエスト：蛮神の脅威",1,1,2,0
12,"クロニクルクエスト：バハムート",1,1,2,0
13,"クロニクルクエスト：クリスタルタワー",1,1,2,0
14,"クロニクルクエスト：アレキサンダー",1,1,2,0
15,"クロニクルクエスト：古の神々",1,1,2,0
16,"クロニクルクエスト：シャドウ・オブ・マハ",1,1,2,0
17,"クロニクルクエスト：オメガ",1,1,2,0
18,"クロニクルクエスト：リターン・トゥ・イヴァリース",1,1,2,0
19,"クロニクルクエスト：四聖獣奇譚",1,1,2,0
20,"クロニクルクエスト：エデン",1,1,2,0
21,"YoRHa: Dark Apocalypse",1,1,2,0
22,"クロニクルクエスト：ウェルリト戦役",1,1,2,0
23,"蛮族クエスト：ドワーフ族",2,1,5,0
24,"蛮族クエスト：キタリ族",2,1,5,0
25,"蛮族クエスト：ピクシー族",2,1,5,0
26,"蛮族クエスト：アマルジャ族",2,1,4,0
27,"蛮族クエスト：シルフ族",2,1,4,0
28,"蛮族クエスト：コボルド族",2,1,4,0
29,"蛮族クエスト：サハギン族",2,1,4,0
30,"蛮族クエスト：イクサル族",2,1,4,0
31,"蛮族クエスト：バヌバヌ族",2,1,4,0
32,"蛮族クエスト：グナース族",2,1,4,0
33,"蛮族クエスト：モーグリ族",2,1,4,0
34,"蛮族クエスト：コウジン族",2,1,4,0
35,"蛮族クエスト：アナンタ族",2,1,4,0
36,"蛮族クエスト：ナマズオ族",2,1,4,0
37,"サブストーリークエスト",2,1,3,0
38,"サブクエスト：ラノシア",3,1,3,0
39,"サブクエスト：黒衣森",3,1,3,0
40,"サブクエスト：ザナラーン",3,1,3,0
41,"サブクエスト：クルザス",3,1,3,0
42,"サブクエスト：モードゥナ",3,1,3,0
43,"サブクエスト：イシュガルド",3,1,3,0
44,"サブクエスト：アバラシア",3,1,3,0
45,"サブクエスト：ドラヴァニア",3,1,3,0
46,"サブクエスト：アジス・ラー",3,1,3,0
47,"サブクエスト：ギラバニア",3,1,3,0
48,"サブクエスト：オサード",3,1,3,0
49,"サブクエスト：ひんがしの国",3,1,3,0
50,"サブクエスト：レイクランド",3,1,3,0
51,"サブクエスト：コルシア島",3,1,3,0
52,"サブクエスト：アム・アレーン",3,1,3,0
53,"サブクエスト：イル・メグ",3,1,3,0
54,"サブクエスト：ラケティカ大森林",3,1,3,0
55,"サブクエスト：テンペスト",3,1,3,4
56,"クラスクエスト：ファイター",2,1,6,0
57,"クラスクエスト：ソーサラー",2,1,6,0
58,"クラスクエスト：クラフター",2,1,6,0
59,"クラスクエスト：ギャザラー",2,1,6,0
60,"クラスクエスト：ミーン工芸館取引",2,1,6,0
61,"ジョブクエスト：ファイター",2,1,6,0
62,"ジョブクエスト：ソーサラー",2,1,6,0
63,"ロールクエスト",2,1,6,0
64,"グランドカンパニークエスト",2,1,7,0
65,"シーズナルイベント",2,1,7,0
66,"エトセトラクエスト",2,1,7,0
67,"リーヴ：傭兵稼業",3,2,8,0
68,"リーヴ：採掘師",3,2,8,0
69,"リーヴ：園芸師",3,2,8,0
70,"リーヴ：漁師",3,2,8,0
71,"リーヴ：木工師",3,2,8,0
72,"リーヴ：鍛冶師",3,2,8,0
73,"リーヴ：甲冑師",3,2,8,0
74,"リーヴ：彫金師",3,2,8,0
75,"リーヴ：革細工師",3,2,8,0
76,"リーヴ：裁縫師",3,2,8,0
77,"リーヴ：錬金術師",3,2,8,0
78,"リーヴ：調理師",3,2,8,0
79,"神殿騎士団リーヴ：傭兵稼業",3,2,8,0
80,"神殿騎士団リーヴ：採掘師",3,2,8,0
81,"神殿騎士団リーヴ：園芸師",3,2,8,0
82,"神殿騎士団リーヴ：漁師",3,2,8,0
83,"神殿騎士団リーヴ：木工師",3,2,8,0
84,"神殿騎士団リーヴ：鍛冶師",3,2,8,0
85,"神殿騎士団リーヴ：甲冑師",3,2,8,0
86,"神殿騎士団リーヴ：彫金師",3,2,8,0
87,"神殿騎士団リーヴ：革細工師",3,2,8,0
88,"神殿騎士団リーヴ：裁縫師",3,2,8,0
89,"神殿騎士団リーヴ：錬金術師",3,2,8,0
90,"神殿騎士団リーヴ：調理師",3,2,8,0
91,"ギルドリーヴ：ファクション",2,2,8,0
92,"グランドカンパニーリーヴ",2,2,8,0
93,"コンテンツ：ダンジョン",2,3,9,0
94,"コンテンツ：レイド",2,3,9,0
95,"コンテンツ：討伐・討滅戦",2,3,9,0
96,"コンテンツ：その他",2,3,9,0
97,"レガシークエスト",2,4,7,0
