key,0,1,2,3,4,5,6,7,8,9,10
#,Quest,,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,uint32,QuestRedoChapterUITab,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,0,"","",""
1,66060,0,1,30,1,114766,114166,114466,"新生エオルゼア 1","","神々に愛されし地「エオルゼア」に、ひとりの冒険者が降り立つ。
求めるは力か、名誉か、富か、それとも……。
母なるクリスタルに導かれし光の戦士にして、
のちに英雄と呼ばれる冒険者の長き旅路が、いま始まろうとしている。"
2,66060,0,1,30,2,114767,114167,114467,"新生エオルゼア 2","","エオルゼア三国を巡り、それぞれが抱える問題の根深さを目の当たりにするなか、
冒険者は秘密組織「暁の血盟」の一員と出会う。
異能「超える力」とは何なのか、目にした「幻」は何を意味するのか。
その真相を知るために、冒険者は彼らの拠点を目指すのだった。"
3,66060,0,1,30,3,114768,114168,114468,"新生エオルゼア 3","","蛮神「イフリート」を巡る問題に対処することで「光の戦士」の再来として、
注目を集めることになった冒険者は、闇の使徒アシエンと対峙することに。
エオルゼアで暗躍する彼らの動向を探るべく、
冒険者は仮面の男「アシエン・ラハブレア」の足取りを追う。"
4,66060,0,1,30,4,114769,114169,114469,"新生エオルゼア 4","","海雄旅団の助力を得て、光の戦士は蛮神「タイタン」の討滅に成功した。
その傍ら、激闘を密やかに見つめる存在に気づいたヤ・シュトラは、
ガレマール帝国とアシエンが協力関係にあることを知る。
そして、今後の方策を練るべく、光の戦士は「砂の家」へと帰還するが……。"
5,66996,0,1,30,5,114770,114170,114470,"第七星暦ストーリー 1","","光の戦士たちが魔導城プラエトリウムでの激戦を制したことにより、
世界は第七霊災という暗澹たる時代を乗り越え、ついに第七星暦を迎える。
エオルゼアの救済を掲げる「暁の血盟」にとっても、これは大きな前進となった。
しかし一方で、組織に注目が集まるがゆえの、新たな問題を抱えることとなる。"
6,65964,0,1,30,6,114771,114171,114471,"第七星暦ストーリー 2","","第七星暦を迎えてなお、エオルゼアは終わりの見えぬ動乱に喘いでいる。
蛮族と蛮神、バル島の消滅、難民の流入と暴動、そしてクルザスの異端者……。
アルフィノによって設立された統一先行組織「クリスタルブレイブ」が、
一手に担いきれぬほど、エオルゼアの抱える課題は山積みとなっていた。"
7,67205,0,1,1,1,114701,114101,114401,"蒼天のイシュガルド 1","","砂蠍衆ロロリトの謀略により、「暁の血盟」の輝きは失われた。
そして、堕ちた英雄は、失意のアルフィノと共に北方の地「クルザス」に向かう。
しかし、彼の地を治める宗教都市「イシュガルド」では、
千年の長きに亘るドラゴン族との戦い、竜詩戦争が続いていた。"
8,67205,0,1,1,2,114702,114102,114402,"蒼天のイシュガルド 2","","ドラゴン族の領域を訪れ、聖竜「フレースヴェルグ」との邂逅を果たした一行は、
竜詩戦争の始まりに隠された歴史の真実を知ることに。
かつてあった人と竜との融和、そして人の王による裏切りと対立……
悲劇の連鎖を止めるため、光の戦士は蒼の竜騎士と邪竜狩りに挑む。"
9,67783,0,1,1,3,114703,114103,114403,"竜詩戦争完結編","","幾多の犠牲を払いながら、光の戦士たちは「アジス・ラー」での決戦に勝利し、
戦いの因果の一端を断ち斬ることに成功した。
しかし、争いのすべてが消え去ったわけではない……。
イシュガルドの前途に困難が待ち受けていることは、誰の目にも明らかであった。"
10,67895,0,1,1,4,114704,114104,114404,"竜詩戦争戦後編","","雲廊での決戦により邪竜「ニーズヘッグ」の影が払われたことで、
千年の長きに亘った竜詩戦争は遂に終結した。
そして、ひとつの終わりは、新たな始まりを告げることになる。
ここからは、かの伯爵の回顧録には綴られない物語……。"
11,68089,0,1,2,1,114705,114105,114405,"紅蓮のリベレーター 1","","ガレマール帝国の圧政から、
アラミゴの解放を目指して進軍を開始するエオルゼア同盟軍。
一方、時を同じくして東州オサード小大陸でも反撃の狼煙が上がろうとしていた。
光の戦士の冒険は、ついにエオルゼア地域を離れ、東方へも及んでいく。"
12,68089,0,1,2,2,114706,114106,114406,"紅蓮のリベレーター 2","","紅玉海での冒険を経て、光の戦士たち一行は、
かつてドマが治めていた「ヤンサ」で、ふたたび帝国支配の実情を目の当たりにする。
代理総督「ヨツユ」による弾圧に苦しむ人々を救う秘策を求め、
光の戦士たちは、ドマの若君が潜伏する大草原、アジムステップへと向かう。"
13,68612,0,1,2,3,114707,114107,114407,"解放戦争戦後編 1","","解放、それは支配の終わりであると同時に、新たな時代の始まりである。
その境目にあって、人々は過去と未来にどう向き合うべきか選択を迫られていた。
国造りを支えるため奔走するリセ、暗い独房に囚われたフォルドラ、
悲願を成し遂げた猛将ラウバーン、彼らが選ぶ道、帰るべき場所とは……。"
14,68721,0,1,2,4,114708,114108,114408,"解放戦争戦後編 2","","ガレマール帝国の中枢にて暗躍する「ゼノスの顔を持つ男」。
そして、消えた皇太子ゼノスの遺体……。
それら不可解な事象の裏に混沌の使者、アシエンの介在が疑われる中、
「暁の血盟」の本部たる石の家にひとりの使者が訪れる。"
15,69190,0,1,3,1,114709,114109,114409,"漆黒のヴィランズ 1","","アラミゴとドマをガレマール帝国の支配から解放した光の戦士。
しかし、その一方で英雄を支える「暁」の賢人たちが、謎の呼び声により倒れてゆく。
国境地帯ギムリトに戦火がくすぶる中、光の戦士は呼び声に導かれ、
新たな世界へと旅立つのであった……。"
16,69190,0,1,3,2,114710,114110,114410,"漆黒のヴィランズ 2","","ラケティカ大森林に夜の闇を取り戻した、「闇の戦士」たちだったが、
未だノルヴラントには、光が満ちた地域も少なくない。
アシエン・エメトセルクによってもたらされた驚愕の真実を胸に、
一行は、さらなる反逆の旅路を歩むことになる。"
17,65580,0,3,4,1,114711,114111,114411,"大迷宮バハムート","","ネール・ヴァン・ダーナスが仕掛けた「メテオ計劃」により、
エオルゼアへと落下し、砕け散った月の衛星「ダラガブ」。
その破片を伝って地下空間に広がる大迷宮を探索せよ！
暗がりに眠る、「第七霊災の真実」を求めて……！"
18,66031,0,3,5,1,114712,114112,114412,"クリスタルタワー","","聖典に記されたクリスタルの輝きに彩られた、眩いばかりの巨塔……。
長き間、伝説の存在だと考えられていたこの「クリスタルタワー」が、
第七霊災を境にモードゥナの地に姿を現した。
アラグの神秘を探求する仲間たちとともに、巨塔の謎に挑め。"
19,67875,0,3,4,2,114713,114113,114413,"機工城アレキサンダー","","低地ドラヴァニアを流れるサリャク河の中程に、
突如として現れた、機械仕掛けの巨城。
新たな蛮神と思われるこの脅威を前に、光の戦士たちが立ち上がる。
かくして、時空を巡る大冒険が幕を開けるのだった！"
20,67910,0,3,5,2,114714,114114,114414,"シャドウ・オブ・マハ","","自前の飛空艇を駆り、秘境や秘宝を求めて空を翔ける「空賊」たち。
そんな彼らの間で、「雲海を彷徨う幽霊船」の噂が広まりつつあった。
「大飛空時代」の到来が叫ばれる今、
古の魔道士たちが造り上げた禁断の「箱船（アーク）」が姿を現す。"
21,67930,0,3,6,1,114715,114115,114415,"古の神々","","魔大陸アジス・ラーに封じられた三柱の古の蛮神「三闘神」。
その一柱である魔神「セフィロト」の目覚めが迫っている。
「暁の血盟」に使わされた謎めいた少年、ウヌクアルハイからの警告により、
魔神復活の危機を知った光の戦士たちは、新たなる「死闘」に向かうことに……。"
22,68693,0,3,4,3,114716,114116,114416,"次元の狭間オメガ","","エオルゼアを蛮神の脅威から守るため、
シドとネロの手によって再起動された古代兵器「オメガ」。
覚醒した神龍と激戦を繰り広げた後、ギラバニア方面へと消えた、
この存在を巡り、次元の狭間において、想像を絶する戦いが始まる。"
23,68725,0,3,5,3,114717,114117,114417,"リターン・トゥ・イヴァリース","","ひんがしの国の港街クガネに、移動式空中劇場「プリマビスタ」が飛来した。
ガレマール帝国において、ミュージカル「ゾディアックブレイブストーリー」を
ヒットさせた有名劇団は、なぜ東の果ての商港へとやって来たのか。
今、物語は幻の王国「イヴァリース」へと回帰する。"
