key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
int32,str,Image,Addon,QuickChatTransient,uint16
0,"削除されたクイックチャット",783,0,0,0
1,"よろしくお願いします！",9901,11030,1,1
2,"お疲れ様でした！",9902,11031,2,2
3,"ありがとう！",9903,11032,3,3
4,"ナイス！",9904,11033,5,4
5,"報告：PvPアディショナルアクション1",9927,11034,6,0
6,"報告：リミットブレイク",9906,11035,7,6
7,"狙う：オフェンスボックス",9907,11036,10,0
8,"狙う：ディフェンスボックス",9908,11037,11,0
9,"狙う：アドレナリンボックス",9909,11038,12,0
10,"狙う：ウルフハートボックス",9910,11039,13,0
11,"攻撃：タンク",9911,11040,14,0
12,"攻撃：ヒーラー",9912,11041,15,0
13,"攻撃：メレー",9913,11042,16,0
14,"攻撃：レンジ",9914,11043,17,0
15,"足止め：タンク",9915,11044,19,0
16,"足止め：ヒーラー",9916,11045,20,0
17,"足止め：メレー",9917,11046,21,0
18,"足止め：レンジ",9918,11047,22,0
19,"メダル：拾います",9919,11048,24,0
20,"メダル：拾ってください",9920,11049,25,0
21,"号令：攻撃",9921,11050,14,21
22,"号令：撤退",9922,11051,16,22
23,"報告：MP",9923,11052,6,23
24,"報告：TP",9924,11053,9,0
25,"攻撃：ターゲット",9925,11054,11,25
26,"妨害：ターゲット",9926,11055,12,26
27,"報告：PvPアディショナルアクション2",9928,11056,7,0
28,"号令：集中攻撃開始",9935,11057,28,0
29,"号令：集中攻撃中止",9936,11058,29,0
30,"ごめんなさい",9965,11713,4,30
31,"行動：前進",9966,11714,9,31
32,"行動：後退",9967,11715,10,32
33,"タクティカルクリスタル：運びます！",9968,11716,17,33
34,"タクティカルクリスタル：運んでください！",9969,11717,18,34
35,"援護：ターゲット",9964,11718,13,35
36,"行動：リミットブレイク実行",9970,14904,8,36
37,"号令：集合",9971,14905,15,37
