key,0,1,2,3,4,5,6,7,8,9,10
#,Type,,Range,,EObj,,,Objective,,,
int32,SkyIsland2MissionType,byte,SkyIsland2RangeType,sbyte,EObjName,uint32,uint32,str,str,str,str
0,0,0,0,-1,0,0,0,"","","",""
10,6,0,0,-1,0,0,0,"","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、ディアデム諸島の資源調査を依頼したい。
心赴くままに採集活動を行い、成果を報告してくれ。","むろん、規程の活動を行えば、相応の報酬を贈ろう。
それでは、よい探索を……！"
11,6,0,0,-1,0,0,0,"","こちらアインハルト管制……
資源調査の第一段階完了を確認した。","なかなか興味深い、活動結果が出たようだな。
それでは、引き続き資源調査を続行してくれたまえ。",""
12,6,0,0,-1,0,0,0,"","こちらアインハルト管制……
資源調査の第二段階完了を確認した。","この調子で、最後まで資源調査を続けてくれ。",""
13,9,0,0,-1,2007594,0,8,"過属性ファイアクリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
14,9,0,0,-1,2007597,0,8,"過属性ウォータークリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
15,9,0,0,-1,2007595,0,8,"過属性アースクリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
16,9,0,0,-1,2007596,0,8,"過属性アイスクリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
17,9,0,0,-1,2007598,0,8,"過属性ウィンドクリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
18,9,0,0,-1,2007593,0,8,"過属性ライトニングクリスタルを収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
19,9,0,0,-1,2007594,1,10,"過属性ファイアクリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
20,9,0,0,-1,2007597,1,10,"過属性ウォータークリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
21,9,0,0,-1,2007595,1,10,"過属性アースクリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
22,9,0,0,-1,2007596,1,10,"過属性アイスクリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
23,9,0,0,-1,2007598,1,10,"過属性ウィンドクリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
24,9,0,0,-1,2007593,1,10,"過属性ライトニングクリスタルを収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
25,2,0,0,-1,0,0,0,"バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！"
26,4,0,5,-1,0,0,0,"誘引香の罠で「シルバーシェル」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
27,4,0,5,-1,0,0,0,"誘引香の罠で「ウェルキニクス」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
28,4,0,5,-1,0,0,0,"誘引香の罠で「ジュエル・ワスプ」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
29,4,0,5,-1,0,0,0,"誘引香の罠で「レインボー・ガストルニス」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
30,4,0,5,-1,0,0,0,"誘引香の罠で「ルナンティシー」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
31,4,0,5,-1,0,0,0,"誘引香の罠で「アントホーク」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
32,4,0,3,-1,0,0,0,"誘引香の罠で「ディプロカウルス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
33,4,0,3,-1,0,0,0,"誘引香の罠で「プロケラトサウルス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
34,4,0,3,-1,0,0,0,"誘引香の罠で「コエロフィシス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
35,4,0,3,-1,0,0,0,"誘引香の罠で「ゼウグロドン」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
36,2,0,0,-1,0,0,0,"バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！"
37,1,8,0,-1,0,0,0,"「シルバーシェル」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
38,1,5,0,-1,0,0,0,"「スペックルド・ハラック」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
39,1,6,0,-1,0,0,0,"「クラウドクロウラー」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
40,1,6,0,-1,0,0,0,"「サーベルタイガー」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
41,1,8,0,-1,0,0,0,"「エイジレス・サンクチンニ」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
42,1,8,0,-1,0,0,0,"「サンソルデス」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
43,1,6,0,-1,0,0,0,"「アントホーク」を討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",""
44,7,8,0,-1,0,0,0,"「エッグピッカー・マウス」を討伐","どうやら卵狙いのネズミが、姿を現したようだ。","ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",""
45,7,8,0,-1,0,0,0,"「エッグピッカー・マウス」を討伐","どうやら卵狙いのネズミが、姿を現したようだ。","ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",""
46,7,8,0,-1,0,0,0,"「エッグピッカー・マウス」を討伐","どうやら卵狙いのネズミが、姿を現したようだ。","ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",""
47,5,0,0,-1,2007782,15,2992,"「古代種の卵」を回収地点に運ぶ","ネズミどもを始末したら、周辺に卵がないか確認してくれ。","「古代種の卵」を発見したら、
これを回収地点まで運搬してもらいたい。",""
48,1,0,5,-1,0,0,0,"「クラウドトラップ」を倒し、「雲海妖花の花粉」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、特殊な香の素材の確保を依頼したい。
クラウドトラップを倒し、「雲海妖花の花粉」を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
49,1,0,3,-1,0,0,0,"「フラッドウォーム」を倒し、「ウォームの肝」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、香の素材となる物資を集めてくれ。
フラッドウォームを倒し、「ウォームの肝」を確保されたし。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
50,2,0,0,-1,0,0,0,"バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！"
51,3,0,0,-1,1,0,0,"バウンティ号の漂着地のアインハルト家の飛空士から試薬を調達","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、強力な生物への対抗手段として、
開発中の試薬の実証試験を依頼したい。","まずは「バウンティ号の漂着地」を訪れ、
「アインハルト家の飛空士」から試薬を入手されたし。"
52,1,10,0,0,0,0,0,"「シルバーシェル」に「弱化の試薬」を用いて討伐","「シルバーシェル」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
53,1,8,0,0,0,0,0,"「クラウドクロウラー」に「弱化の試薬」を用いて討伐","「クラウドクロウラー」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
54,1,8,0,0,0,0,0,"「サーベルタイガー」に「弱化の試薬」を用いて討伐","「サーベルタイガー」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
55,1,10,0,0,0,0,0,"「エイジレス・サンクチンニ」に「弱化の試薬」を用いて討伐","「エイジレス・サンクチンニ」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
56,1,10,0,0,0,0,0,"「サンソルデス」に「弱化の試薬」を用いて討伐","「サンソルデス」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
57,1,4,0,0,0,0,0,"「ディアデム・エンディミオン」に「弱化の試薬」を用いて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「ディアデム・エンディミオン」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
58,1,6,0,0,0,0,0,"「スペックルド・ハラック」に「弱化の試薬」を用いて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「スペックルド・ハラック」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
59,1,4,0,0,0,0,0,"「クラウンペリカン」に「弱化の試薬」を用いて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「クラウンペリカン」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
60,1,4,0,0,0,0,0,"「ディプロカウルス」に「弱化の試薬」を用いて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「ディプロカウルス」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
61,4,8,0,-1,0,0,0,"誘引香の罠で「ボーンフライ」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
62,4,8,0,-1,0,0,0,"誘引香の罠で「ギガントピテクス」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
63,4,6,0,-1,0,0,0,"誘引香の罠で「サーベルタイガー」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
64,4,6,0,-1,0,0,0,"誘引香の罠で「クラウド・ライオン」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
65,4,5,0,-1,0,0,0,"誘引香の罠で「ディアデム・ユニコーン」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
66,4,6,0,-1,0,0,0,"誘引香の罠で「ディアデム・マーリド」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
67,7,1,0,-1,0,0,0,"「クラウン・トラマ」を討伐","こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",""
68,7,1,0,-1,0,0,0,"「ケルケス」を討伐","こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",""
69,7,1,0,-1,0,0,0,"「ディアデム・ペガサス」を討伐","こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",""
70,7,1,0,-1,0,0,0,"「ビッグビロコ」を討伐","こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",""
71,8,3,0,-1,0,0,0,"誘引香の罠で「ディアデム・エンディミオン」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。"
72,8,3,0,-1,0,0,0,"誘引香の罠で「プロケラトサウルス」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。"
73,8,3,0,-1,0,0,0,"誘引香の罠で「ウェスタリー・サヌワ」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。"
74,8,3,0,-1,0,0,0,"誘引香の罠で「クラウンペリカン」を誘き寄せて討伐","こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。"
75,4,8,0,-1,0,0,0,"誘引香の罠で「クラウン・トコトコ」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
76,4,8,0,-1,0,0,0,"誘引香の罠で「ネオチュー」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
77,4,6,0,-1,0,0,0,"誘引香の罠で「カッター」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
78,4,8,0,-1,0,0,0,"誘引香の罠で「サンソルデス」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
79,4,8,0,-1,0,0,0,"誘引香の罠で「パック・パイッサ」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
80,4,8,0,-1,0,0,0,"誘引香の罠で「ジュエルフライ」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
81,4,8,0,-1,0,0,0,"誘引香の罠で「エイジレス・サンクチンニ」を誘き寄せて討伐","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。"
