key,0,1,2,3,4,5,6
#,Color,Shade,SubOrder,Name,,,
int32,Color,byte,byte,str,str,bit&01,bit&02
0,0,2,1,"","",False,True
1,14999504,2,2,"スノウホワイト","スノウホワイト",False,True
2,11315362,2,3,"アッシュグレイ","アッシュグレイ",False,True
3,9013124,2,4,"グゥーブーグレイ","グゥーブーグレイ",False,True
4,6645093,2,5,"スレートグレイ","スレートグレイ",False,True
5,4736834,2,6,"チャコールグレイ","チャコールグレイ",False,True
6,2828579,2,7,"スートブラック","スートブラック",False,True
7,15114134,4,1,"ローズピンク","ローズピンク",False,True
8,8612201,4,2,"ライラックパープル","ライラックパープル",False,True
9,5969705,4,3,"ロランベリーレッド","ロランベリーレッド",False,True
10,7871002,4,4,"ダラガブレッド","ダラガブレッド",False,True
11,6431239,4,5,"ラストレッド","ラストレッド",False,True
12,4527377,4,6,"ワインレッド","ワインレッド",False,True
13,13397086,4,7,"コーラルピンク","コーラルピンク",False,True
14,9517863,4,8,"ブラッドレッド","ブラッドレッド",False,True
15,14985866,4,9,"サーモンピンク","サーモンピンク",False,True
16,12016685,5,1,"サンセットオレンジ","サンセットオレンジ",False,True
17,8206598,5,2,"メサレッド","メサレッド",False,True
18,6966071,5,3,"バークブラウン","バークブラウン",False,True
19,7224612,5,4,"チョコレートブラウン","チョコレートブラウン",False,True
20,5188895,5,5,"ラセットブラウン","ラセットブラウン",False,True
21,3154203,5,6,"コボルドブラウン","コボルドブラウン",False,True
22,13209942,5,7,"コルクブラウン","コルクブラウン",False,True
23,10055231,5,8,"キキルンブラウン","キキルンブラウン",False,True
24,8084525,5,9,"オポオポブラウン","オポオポブラウン",False,True
25,10651484,5,10,"アルドゴートブラウン","アルドゴートブラウン",False,True
26,12940324,5,11,"パンプキンオレンジ","パンプキンオレンジ",False,True
27,9328667,5,12,"エーコンブラウン","エーコンブラウン",False,True
28,6570518,5,13,"オーチャードブラウン","オーチャードブラウン",False,True
29,4008205,5,14,"チェスナットブラウン","チェスナットブラウン",False,True
30,12166281,5,15,"ゴブリンブラウン","ゴブリンブラウン",False,True
31,9601388,5,16,"シェールブラウン","シェールブラウン",False,True
32,6378053,5,17,"モールブラウン","モールブラウン",False,True
33,4141865,5,18,"ロームブラウン","ロームブラウン",False,True
34,15455136,6,1,"ボーンホワイト","ボーンホワイト",False,True
35,12034928,6,2,"ウルダハンブラウン","ウルダハンブラウン",False,True
36,14398551,6,3,"チョコボイエロー","デザートイエロー",False,True
37,16434731,6,4,"ハニーイエロー","ハニーイエロー",False,True
38,14982708,6,5,"ミリオンコーンイエロー","ミリオンコーンイエロー",False,True
39,12355588,6,6,"クァールイエロー","クァールイエロー",False,True
40,15914864,6,7,"クリームイエロー","クリームイエロー",False,True
41,10847280,6,8,"ハラタリイエロー","ハラタリイエロー",False,True
42,4207377,6,9,"レーズンブラウン","レーズンブラウン",False,True
43,5788208,7,1,"マッドグリーン","マッドグリーン",False,True
44,12303242,7,2,"シルフグリーン","シルフグリーン",False,True
45,11251796,7,3,"ライムグリーン","ライムグリーン",False,True
46,7369510,7,4,"モスグリーン","モスグリーン",False,True
47,9149539,7,5,"メドウグリーン","メドウグリーン",False,True
48,4936242,7,6,"オリーヴグリーン","オリーヴグリーン",False,True
49,3290657,7,7,"マーシュグリーン","マーシュグリーン",False,True
50,10204003,7,8,"アップルグリーン","アップルグリーン",False,True
51,6652481,7,9,"サボテンダーグリーン","サボテンダーグリーン",False,True
52,2640684,7,10,"ハンターグリーン","ハンターグリーン",False,True
53,4219705,7,11,"オチューグリーン","オチューグリーン",False,True
54,6255960,7,12,"アダマンタスグリーン","アダマンタスグリーン",False,True
55,3886396,7,13,"ノフィカグリーン","ノフィカグリーン",False,True
56,1976865,7,14,"ディープウッドグリーン","ディープウッドグリーン",False,True
57,9878969,7,15,"セレストグリーン","セレストグリーン",False,True
58,4420210,7,16,"ターコイズグリーン","ターコイズグリーン",False,True
59,2049606,7,17,"モルボルグリーン","モルボルグリーン",False,True
60,11715790,8,1,"アイスブルー","アイスブルー",False,True
61,8630482,8,2,"スカイブルー","スカイブルー",False,True
62,6586784,8,3,"シーフォグブルー","シーフォグブルー",False,True
63,3893382,8,4,"ピーコックブルー","ピーコックブルー",False,True
64,1850708,8,5,"ロータノブルー","ロータノブルー",False,True
65,9345964,8,6,"コープスブルー","コープスブルー",False,True
66,5199718,8,7,"セルレアムブルー","セルレアムブルー",False,True
67,3094609,8,8,"ウォードブルー","ウォードブルー",False,True
68,1711911,8,9,"インクブルー","インクブルー",False,True
69,5996480,8,10,"ラプトルブルー","ラプトルブルー",False,True
70,3102857,8,11,"オサードブルー","オサードブルー",False,True
71,2310514,8,12,"ストームブルー","ストームブルー",False,True
72,1124676,8,13,"ヴォイドブルー","ヴォイドブルー",False,True
73,2568295,8,14,"ロイヤルブルー","ロイヤルブルー",False,True
