key,0,1,2,3,4,5,6,7
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory,
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory,byte
0,"",0,0,0,0,0,0,0
1,"ＶＩＴアップ",0,0,0,0,0,0,0
2,"ＶＩＴアップII",0,0,0,0,0,0,0
3,"ＶＩＴアップIII",0,0,0,0,0,0,0
4,"ＶＩＴアップ",0,0,0,0,0,0,0
5,"ＶＩＴアップII",0,0,0,0,0,0,0
6,"ＶＩＴアップIII",0,0,0,0,0,0,0
7,"ＳＴＲアップ",0,0,0,0,0,0,0
8,"ＳＴＲアップII",0,0,0,0,0,0,0
9,"ＳＴＲアップIII",0,0,0,0,0,0,0
10,"疾風迅雷効果アップ",0,0,0,0,0,0,0
11,"疾風迅雷効果アップII",0,0,0,0,0,0,0
12,"ＳＴＲアップ",0,0,0,0,0,0,0
13,"ＳＴＲアップII",0,0,0,0,0,0,0
14,"ＳＴＲアップIII",0,0,0,0,0,0,0
15,"ＤＥＸアップ",0,0,0,0,0,0,0
16,"ＤＥＸアップII",0,0,0,0,0,0,0
17,"ヘヴィショット効果アップ",5306,5,2,0,0,50,0
18,"アクションダメージアップ",5302,5,20,0,10,50,0
19,"ＤＥＸアップIII",0,0,0,0,0,0,0
20,"アクションダメージアップII",5303,5,40,0,20,50,0
21,"ＭＮＤアップ",0,0,0,0,0,0,0
22,"ＭＮＤアップII",0,0,0,0,0,0,0
23,"アクションダメージ・回復量アップ",5185,6,20,0,10,53,0
24,"ＭＮＤアップIII",0,0,0,0,0,0,0
25,"ケアル効果アップ",5330,6,32,0,0,53,0
26,"アクションダメージ・回復量アップII",5186,6,40,0,30,53,0
27,"ＩＮＴアップ",0,0,0,0,0,0,0
28,"ＩＮＴアップII",0,0,0,0,0,0,0
29,"アクションダメージ・回復量アップ",5185,7,20,0,10,55,0
30,"ＩＮＴアップIII",0,0,0,0,0,0,0
31,"アクションダメージ・回復量アップII",5186,7,40,0,30,55,0
32,"ファイア効果アップ",5352,7,42,0,0,55,0
33,"サンダー系魔法効果アップ",5355,7,28,0,0,55,0
34,"オートトライアングレート",5451,17,2,0,0,18,0
