key,0,1,2,3,4,5,6,7,8,9,10,11
#,PopRange,TerritoryType,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene,Name,Question
int32,Level,TerritoryType,DefaultTalk,DefaultTalk,DefaultTalk,WarpCondition,WarpLogic,Cutscene,Cutscene,bit&01,str,str
131072,0,0,0,0,0,1,1,0,0,False,"",""
131073,2040811,148,0,0,0,2,2,0,0,False,"",""
131074,3884000,204,590352,590353,0,3,1,0,0,False,"","「神勇隊司令室」へ入りますか？"
131075,3884182,132,0,0,0,1,1,0,0,False,"","「神勇隊司令室」から出ますか？"
131076,3878860,133,0,0,0,1,1,0,0,False,"","「不語仙の座卓」から出ますか？"
131077,1381039,152,590354,590355,0,4,1,0,0,False,"「花蜜桟橋」へ行く","「花蜜桟橋」へ移動しますか？"
131078,1381038,133,590356,590259,0,4,1,0,0,False,"","「グリダニア旧市街」へ移動しますか？"
131079,4124796,177,0,0,0,5,3,0,0,False,"",""
131080,1359058,179,0,0,0,5,4,0,0,False,"",""
131081,4124801,178,0,0,0,5,5,0,0,False,"",""
131082,4125264,128,0,0,0,1,1,0,0,False,"","退出しますか？"
131083,2232680,132,0,0,0,1,1,0,0,False,"","退出しますか？"
131084,4125288,130,0,0,0,1,1,0,0,False,"","退出しますか？"
131085,4107979,131,0,0,0,1,1,0,0,False,"","「銀冑団総長室」から出ますか？"
131086,4143657,140,590441,590620,590448,6,1,0,0,False,"","「クレセントコーヴ」へ移動しますか？
運賃：40ギル"
131087,4143677,140,590442,590621,590449,6,1,0,0,False,"","「シルバーバザー」へ移動しますか？
運賃：40ギル"
131088,4107477,212,0,590450,0,7,1,0,0,False,"","「砂の家」へ入りますか？"
131089,4132388,140,0,0,0,1,1,0,0,False,"","「砂の家」から出ますか？"
131090,4148347,212,0,590564,0,21,1,0,0,False,"","「暁の間」へ入りますか？"
131091,4148350,212,0,0,0,1,1,0,0,False,"","「暁の間」から出ますか？"
131092,4158063,128,0,0,0,1,1,0,0,False,"「4F：リムサ・ロミンサ・ランディング」へ行く","「4F：リムサ・ロミンサ・ランディング」へ移動しますか？"
131093,4158069,128,0,0,0,1,1,0,0,False,"「2F：冒険者ギルド「溺れた海豚亭」」へ行く","「2F：冒険者ギルド「溺れた海豚亭」」へ移動しますか？"
131094,4161445,129,0,0,0,1,1,0,0,False,"「1F：ブルワークホール」へ行く","「1F：ブルワークホール」へ移動しますか？"
131095,4164411,130,0,0,0,1,1,0,0,False,"「4F：ウルダハ・ランディング」へ行く","「4F：ウルダハ・ランディング」へ移動しますか？"
131096,4164414,131,0,0,0,1,1,0,0,False,"「2F：政庁層」へ行く","「2F：政庁層」へ移動しますか？"
131097,4164413,130,0,0,0,1,1,0,0,False,"「1F：ルビーロード国際市場」へ行く","「1F：ルビーロード国際市場」へ移動しますか？"
131098,4087066,210,590451,590452,0,8,1,0,0,False,"","「銀冑団総長室」に入りますか？"
131099,4165046,146,590611,0,0,1,1,0,0,False,"","該当エリアへ移動しますか？"
131100,4165037,145,590610,0,0,1,1,0,0,False,"","水辺から脱出しますか？"
131101,4103382,132,0,590530,590453,9,1,227,232,True,"「グリダニア」へ行く","「グリダニア」へ移動しますか？
運賃：120ギル"
131102,4103399,128,0,590530,590453,9,1,227,230,True,"「リムサ・ロミンサ」へ行く","「リムサ・ロミンサ」へ移動しますか？
運賃：120ギル"
131103,4103339,130,0,589916,590454,9,1,231,228,True,"「ウルダハ」へ行く","「ウルダハ」へ移動しますか？
運賃：120ギル"
131104,4103399,128,0,589916,590454,9,1,231,230,True,"「リムサ・ロミンサ」へ行く","「リムサ・ロミンサ」へ移動しますか？
運賃：120ギル"
131105,4103339,130,0,590531,590455,9,1,229,228,True,"「ウルダハ」へ行く","「ウルダハ」へ移動しますか？
運賃：120ギル"
131106,4103382,132,0,590531,590455,9,1,229,232,True,"「グリダニア」へ行く","「グリダニア」へ移動しますか？
運賃：120ギル"
131107,4165398,129,0,591076,590456,10,1,235,234,True,"","「リムサ・ロミンサ」へ移動しますか？
運賃：80ギル"
131108,4165376,140,0,591077,590457,10,1,233,236,True,"","「ベスパーベイ」へ移動しますか？
運賃：80ギル"
131109,4165794,138,590514,590515,590622,11,1,0,0,False,"「エールポート」へ行く","「エールポート」へ移動しますか？
運賃：40ギル"
131110,4165749,129,590516,590517,590623,11,1,0,0,False,"「リムサ・ロミンサ」へ行く","「リムサ・ロミンサ」へ移動しますか？
運賃：40ギル"
131111,4165755,137,590518,590519,590624,12,1,0,0,False,"「コスタ・デル・ソル」へ行く","「コスタ・デル・ソル」へ移動しますか？
運賃：40ギル"
131112,4165749,129,590520,590521,590625,12,1,0,0,False,"「リムサ・ロミンサ」へ行く","「リムサ・ロミンサ」へ移動しますか？
運賃：40ギル"
131113,4165801,139,590510,0,590511,13,1,0,0,False,"「ジジルン交易商店」へ行く","「ジジルン交易商店」へ移動しますか？
運賃：40ギル"
131114,4165797,139,590512,0,590513,13,1,0,0,False,"「メメルン交易商店」へ行く","「メメルン交易商店」へ移動しますか？
運賃：40ギル"
131115,4165794,138,590522,590626,590628,14,1,0,0,False,"「エールポート」へ行く","「エールポート」へ移動しますか？
運賃：40ギル"
131116,4165877,135,590523,590627,590629,14,1,0,0,False,"「キャンドルキープ埠頭」へ行く","「キャンドルキープ埠頭」へ移動しますか？
運賃：40ギル"
131117,1317627,148,590524,590525,0,15,1,0,0,False,"「白狼門（はくろうもん）」の外へ行く","「白狼門（はくろうもん）」から出ますか？"
131118,1317561,132,590529,590526,0,15,1,0,0,False,"","「グリダニア」へ入りますか？"
131119,4165759,137,590527,0,590630,16,1,0,0,False,"「レインキャッチャー」へ行く","「レインキャッチャー」へ移動しますか？
運賃：40ギル"
131120,4165758,137,590528,0,590631,16,1,0,0,False,"「隠れ滝」へ行く","「隠れ滝」へ移動しますか？
運賃：40ギル"
131121,3877982,205,590535,590536,0,19,1,0,0,False,"「不語仙の座卓」へ行く","「不語仙の座卓」へ移動しますか？"
131122,4146949,198,590563,0,0,20,1,0,0,False,"「アドミラルブリッジ：提督室」へ行く","「アドミラルブリッジ：提督室」へ移動しますか？"
131123,4169071,129,0,0,0,1,1,0,0,False,"","「アドミラルブリッジ：提督室」から出ますか？"
131124,4190590,134,0,0,0,2,2,0,0,False,"",""
131125,4189532,141,0,0,0,2,2,0,0,False,"",""
131126,4165939,146,590603,0,0,1,1,0,0,False,"","「ミノタウロスマルム」へ移動しますか？"
131127,4165935,146,590604,0,0,1,1,0,0,False,"","「ナルの祠」へ移動しますか？"
131128,4103339,130,590607,0,0,1,1,0,0,False,"","「ラウンジ」へ戻りますか？"
131129,4103382,132,590608,0,0,1,1,0,0,False,"","「ラウンジ」へ戻りますか？"
131130,4103399,128,590609,0,0,1,1,0,0,False,"","「ラウンジ」へ戻りますか？"
131131,4264415,250,590632,0,0,1,1,0,0,False,"｢ウルヴズジェイル｣へ行く","「ウルヴズジェイル」へ移動しますか？"
131132,4264426,135,590633,0,0,1,1,0,0,False,"｢モラビー造船廠｣へ行く","「モラビー造船廠」へ移動しますか？"
