key,0,1,2,3,4,5,6
#,Icon,Name,Description,,,,
int32,Image,str,str,str,str,str,str
0,0,"","","","","",""
1,60201,"快晴","","","","",""
2,60202,"晴れ","","","","",""
3,60203,"曇り","","","","",""
4,60204,"霧","","","","",""
5,60205,"風","","","","",""
6,60206,"暴風","","","","",""
7,60207,"雨","","","","",""
8,60208,"暴雨","","","","",""
9,60209,"雷","","","","",""
10,60210,"雷雨","","","","",""
11,60211,"砂塵","","","","",""
12,60212,"砂嵐","","","","",""
13,60213,"熱波","","","","",""
14,60214,"灼熱波","","","","",""
15,60215,"雪","","","","",""
16,60216,"吹雪","","","","",""
17,60218,"妖霧","","","","",""
18,60217,"オーロラ","","","","",""
19,60251,"闇","","","","",""
20,60255,"闘気","","","","",""
21,60203,"曇り","","","","",""
22,60259,"雷雲","","","","",""
23,60258,"時化","","","","",""
24,60258,"時化","","","","",""
25,60257,"曇天","","","","",""
26,60252,"灼熱波","","","","",""
27,60256,"妖霧","","","","",""
28,60253,"暴風","","","","",""
29,60254,"噴煙","","","","",""
30,60202,"晴れ","","","","",""
31,60202,"晴れ","","","","",""
32,60202,"晴れ","","","","",""
33,60202,"晴れ","","","","",""
34,60202,"晴れ","","","","",""
35,60260,"極光","","","","",""
36,60261,"龍核","","","","",""
37,60261,"龍核","","","","",""
38,60261,"龍核","","","","",""
39,60261,"龍核","","","","",""
40,60262,"群雲","","","","",""
41,60262,"群雲","","","","",""
42,60262,"群雲","","","","",""
43,60262,"群雲","","","","",""
44,60264,"神意","","","","",""
45,60264,"神意","","","","",""
46,60264,"神意","","","","",""
47,60264,"神意","","","","",""
48,60264,"神意","","","","",""
49,60219,"霊風","","","","",""
50,60220,"放電","","","","",""
51,60263,"煙霧","","","","",""
52,60202,"晴れ","","","","",""
53,60226,"獣雷","","","","",""
54,60227,"雷波","","","","",""
55,60226,"獣雷","","","","",""
56,60264,"神意","","","","",""
57,60209,"雷","","","","",""
58,60209,"雷","","","","",""
59,0,"","","","","",""
60,60265,"神秘","","","","",""
61,60265,"神秘","","","","",""
62,60207,"雨","","","","",""
63,60202,"晴れ","","","","",""
64,60207,"雨","","","","",""
65,60202,"晴れ","","","","",""
66,60266,"邪天","","","","",""
67,60266,"邪天","","","","",""
68,60202,"晴れ","","","","",""
69,60267,"調和","","","","",""
70,60267,"調和","","","","",""
71,60268,"時流","","","","",""
72,60268,"時流","","","","",""
73,60268,"時流","","","","",""
74,60269,"鬼気","","","","",""
75,60269,"鬼気","","","","",""
76,60269,"鬼気","","","","",""
77,60274,"次元","","","","",""
78,60274,"次元","","","","",""
79,60274,"次元","","","","",""
80,60271,"嵐天","","","","",""
81,60271,"嵐天","","","","",""
82,60270,"美天","","","","",""
83,60270,"美天","","","","",""
84,60272,"龍天","","","","",""
85,60272,"龍天","","","","",""
86,60271,"嵐天","","","","",""
87,60273,"迅雷","","","","",""
88,60209,"雷","","","","",""
89,60274,"次元","","","","",""
90,60202,"晴れ","","","","",""
91,60201,"快晴","","","","",""
92,60275,"白嵐","","","","",""
93,60275,"白嵐","","","","",""
94,60275,"白嵐","","","","",""
95,60277,"幻想","","","","",""
96,60275,"白嵐","","","","",""
97,60276,"月夜","","","","",""
98,60276,"月夜","","","","",""
99,60276,"月夜","","","","",""
100,60276,"月夜","","","","",""
101,60293,"紅月下","","","","",""
102,60278,"朱炎","","","","",""
103,60278,"朱炎","","","","",""
104,60278,"朱炎","","","","",""
105,60202,"晴れ","","","","",""
106,60202,"晴れ","","","","",""
107,60202,"晴れ","","","","",""
108,60202,"晴れ","","","","",""
109,60279,"火炎","","","","",""
110,60280,"津波","","","","",""
111,60281,"竜巻","","","","",""
112,60282,"地震","","","","",""
113,60283,"青春","","","","",""
114,60283,"青春","","","","",""
115,60283,"青春","","","","",""
116,60284,"乱霊流","","","","",""
117,60283,"青春","","","","",""
118,60221,"無尽光","","","","",""
119,60253,"暴風","","","","",""
120,60287,"終末","","","","",""
121,60287,"終末","","","","",""
122,60285,"妖夢","","","","",""
123,60285,"妖夢","","","","",""
124,60285,"妖夢","","","","",""
125,60286,"光天","","","","",""
126,60286,"光天","","","","",""
127,60287,"終末","","","","",""
128,60287,"終末","","","","",""
129,60221,"無尽光","","","","",""
130,60254,"噴煙","","","","",""
131,60287,"終末","","","","",""
132,60202,"晴れ","","","","",""
133,60288,"焔霊風","","","","",""
134,60289,"土霊風","","","","",""
135,60290,"雷霊風","","","","",""
136,60291,"嵐霊風","","","","",""
137,60296,"流星雨","","","","",""
138,60294,"記憶乱流","","","","",""
139,60203,"曇り","","","","",""
140,60203,"曇り","","","","",""
141,60260,"極光","","","","",""
142,60260,"極光","","","","",""
143,60259,"雷雲","","","","",""
144,60295,"焔嵐 ","","","","",""
145,60292,"幻海流 ","","","","",""
146,0,"","","","","",""
147,60297,"決戦","","","","",""
148,60222,"月砂塵","","","","",""
149,60223,"磁気嵐","","","","",""
150,60224,"終末","","","","",""
151,60298,"星霊","","","","",""
152,60298,"星霊","","","","",""
153,60298,"星霊","","","","",""
154,60298,"星霊","","","","",""
155,60298,"星霊","","","","",""
156,60225,"仮想","","","","",""
157,60228,"万魔殿","","","","",""
158,60228,"万魔殿","","","","",""
159,60228,"万魔殿","","","","",""
160,60299,"終極","","","","",""
161,60229,"絶望","","","","",""
162,60230,"神域","","","","",""
163,60230,"神域","","","","",""
164,60230,"神域","","","","",""
165,60230,"神域","","","","",""
166,60230,"神域","","","","",""
167,60230,"神域","","","","",""
168,60230,"神域","","","","",""
169,60230,"神域","","","","",""
170,60266,"邪天","","","","",""
171,60231,"虚無","","","","",""
172,60231,"虚無","","","","",""
173,60231,"虚無","","","","",""
174,60274,"次元","","","","",""
175,60274,"次元","","","","",""
176,60274,"次元","","","","",""
